ID,T_SNR,R_SNR,P_SNR,B_SNR,L_SNRAS,Psi,Penalty,Outcome,Rank,Runtime,RawFilename
TIC\_261136679\_TESS\_sector\_71,5.15188482536736,7.14224091167616,1.46741274625749,4.30157750992494,3.10270598949544,0.935661106366353,66.0448925167145,Vetoed,3,6e-05,TIC_261136679_TESS_sector_71.fits
TIC\_261136679\_TESS\_sector\_75,19.3464854669209,15.3724832503915,1.83600618577648,35.1323068373232,11.6444406613915,0.937571452743031,66.143536040047,Vetoed,3,0.000124,TIC_261136679_TESS_sector_75.fits
TIC\_261136679\_TESS\_sector\_69,11.9369830931123,12.6451507515424,2.79486190939531,23.8279694905331,7.18464811716731,0.937613162023995,66.1456886745722,Vetoed,3,6.4e-05,TIC_261136679_TESS_sector_69.fits
TIC\_261136679\_TESS\_sector\_85,7.14385628886484,5.4723603183343,2.72349325977589,20.8297456532762,4.29575107346234,0.940615479816863,66.3005180397232,Vetoed,3,0.000143,TIC_261136679_TESS_sector_85.fits
KIC\_8462852\_Kepler\_quarter\_15,7.98034131864997,7.77363236954823,3.03223173492227,24.0707825061229,4.78588554926226,0.949307797579968,66.7474333956887,Vetoed,3,8.2e-05,KIC_8462852_Kepler_quarter_15.fits
Kepler\_Q14,7.98034131864997,7.77363236954823,3.03223173492227,24.0707825061229,4.78588554926226,0.949307797579968,66.7474333956887,Vetoed,3,6.7e-05,Kepler_Q14.fits
TIC\_261136679\_TESS\_sector\_90,6.02311291217282,7.7679253219926,1.70310698957464,10.0616668681987,3.61165111865982,0.949727410027692,66.7689573074772,Vetoed,3,5.7e-05,TIC_261136679_TESS_sector_90.fits
TIC\_261136679\_TESS\_sector\_76,15.0612504082036,15.3103460398997,1.40791549249159,21.2452462956358,9.02893922307962,0.950544405600976,66.8108515970987,Vetoed,3,9.9e-05,TIC_261136679_TESS_sector_76.fits
KIC\_8462852\_Kepler\_quarter\_1,5.24675698012382,5.10885542469199,3.16863283057641,12.3102094715346,3.1450666828302,0.950820077487658,66.8249836725987,Vetoed,3,0.000213,KIC_8462852_Kepler_quarter_1.fits
V723\_Mon,12.783566347662,16.0724224411713,2.14360195403187,27.622948690896,7.65864102613677,0.952614065988482,66.9169021505951,Vetoed,3,5.8e-05,V723_Mon.fits
TIC\_261136679\_TESS\_sector\_81,17.4316073487032,12.7085772921439,1.59938749539122,27.924619629112,10.4120981627025,0.962400671728094,67.4168556261357,Vetoed,3,0.000126,TIC_261136679_TESS_sector_81.fits
TIC\_261136679\_TESS\_sector\_3,40.551753277391,47.551543022094,8.55405524284046,237.35138313759,24.1842486037974,0.967539300776647,67.6783676091702,Vetoed,3,0.000185,TIC_261136679_TESS_sector_3.fits
TESS\_S8,40.5785938030732,47.5767091761704,8.55000539884207,237.665679487797,24.1898647204232,0.968956993520898,67.75039576312,Vetoed,3,0.000136,TESS_S8.fits
TIC\_261136679\_TESS\_sector\_79,14.4873255606338,14.218239134361,1.33208643492179,19.265247759351,8.62793775562043,0.972137533274986,67.9117996788565,Vetoed,3,0.000143,TIC_261136679_TESS_sector_79.fits
TIC\_261136679\_TESS\_sector\_65,5.2803310866567,6.57108252351444,1.71624988665848,7.73132165074227,3.13949613972295,0.977639557474666,68.190399084952,Vetoed,3,4.3e-05,TIC_261136679_TESS_sector_65.fits
TIC\_261136679\_TESS\_sector\_92,1.16978648482093,20.3410782231468,0.355014432598428,0.412588246123139,0.693907794743984,0.98535011620972,68.5795279547936,Vetoed,3,6.4e-05,TIC_261136679_TESS_sector_92.fits
